new_jcard_date,rate,item
2014-03-02,279195.4000000001,22633
2014-03-09,399453.44999999943,41148
2014-03-16,620813.5900000004,60480
2014-03-23,633177.0899999999,67936
2014-03-30,760583.3700000001,103443
2014-04-06,549117.7099999996,56919
2014-04-13,631614.61,55995
2014-04-20,618493.8499999997,64136
2014-04-27,642454.1899999994,72183
2014-05-04,662952.3900000011,70454
2014-05-11,548666.9700000007,66024
2014-05-18,665085.0799999989,80174
2014-05-25,690468.4100000006,87601
2014-06-01,624811.0799999991,81402
2014-06-08,584299.0999999993,56799
2014-06-15,538436.5299999997,59772
2014-06-22,560144.6000000002,70637
2014-06-29,600210.8799999985,83843
2014-07-06,576694.1299999994,60605
2014-07-13,605841.4399999995,62425
2014-07-20,646874.2999999988,75850
2014-07-27,734379.2299999987,114968
2014-08-03,698657.3899999991,116441
2014-08-10,584754.9999999993,84637
2014-08-17,646750.019999999,82394
2014-08-24,747931.0199999986,108958
2014-08-31,813190.6299999992,122509
2014-09-07,602778.4200000004,92688
2014-09-14,822109.8200000004,113595
2014-09-21,821002.8500000011,135353
2014-09-28,880691.7800000005,169278
2014-10-05,641731.2600000002,114965
2014-10-12,715343.3200000004,111247
2014-10-19,781087.4100000005,138935
2014-10-26,545601.2500000002,91843
2014-11-02,965540.1899999996,177885
2014-11-09,798636.2099999994,131292
2014-11-16,847025.5300000008,148386
2014-11-23,898349.090000002,155016
2014-11-30,976144.2700000023,200044
2014-12-07,872587.1900000026,143128
2014-12-14,862403.6799999973,150896
2014-12-21,892569.3099999998,165626
2014-12-28,941746.1800000005,204540
2015-01-04,716989.5999999997,131063
2015-01-11,873067.5800000025,152886
2015-01-18,761369.9199999997,116137
2015-01-25,803748.7899999967,145816
2015-02-01,820567.1599999997,134432
2015-02-08,754052.4299999967,136740
2015-02-15,813429.6100000005,148250
2015-02-22,799892.9699999996,159780
2015-03-01,841839.0499999982,173300
2015-03-08,571829.2799999985,87873
2015-03-15,850032.389999999,128636
2015-03-22,823627.3799999988,132481
2015-03-29,759395.8099999992,139999
2015-04-05,738893.4199999986,105863
2015-04-12,563086.1399999988,89984
2015-04-19,624390.5999999987,92769
2015-04-26,526216.2999999992,97242
2015-05-03,582498.1799999985,86219
2015-05-10,478647.4199999999,78014
2015-05-17,547368.8500000011,83561
2015-05-24,618927.8400000003,108957
2015-05-31,600754.1799999999,109440
2015-06-07,457539.46000000014,76841
2015-06-14,508933.87000000064,88869
2015-06-21,489119.35000000003,87518
2015-06-28,519760.7800000012,99775
2015-07-05,510412.1000000006,84541
2015-07-12,570980.2499999999,82386
2015-07-19,439356.3700000004,78246
2015-07-26,547384.8499999999,102760
2015-08-02,632790.9800000009,97348
2015-08-09,547573.0500000002,71824
2015-08-16,543048.9500000009,71238
2015-08-23,645054.2300000015,89688
2015-08-30,708257.850000001,109019
2015-09-06,799359.6499999998,86313
2015-09-13,835178.6399999992,82381
2015-09-20,683006.1199999993,76509
2015-09-27,928555.6899999998,100272
2015-10-04,1064767.390000001,79565
2015-10-11,897665.41,75136
2015-10-18,915768.5800000001,83388
2015-10-25,801943.4199999992,74613
2015-11-01,1028488.9899999977,102467
2015-11-08,874044.1399999991,66953
2015-11-15,486616.3400000002,45547
2015-11-22,907689.7499999997,78526
2015-11-29,1001602.7900000004,91407
2015-12-06,947468.0899999994,83919
2015-12-13,902774.5199999997,77295
2015-12-20,977833.0599999995,84529
2015-12-27,1031958.5499999995,88942
2016-01-03,1011187.87,83202
2016-01-10,1067053.8399999994,72599
2016-01-17,830709.36,64224
2016-01-24,921547.0200000003,61956
2016-01-31,1026434.7500000003,87104
2016-02-07,1022743.63,69075
2016-02-14,927974.4799999999,66365
2016-02-21,896806.6900000008,68054
2016-02-28,1066526.1700000002,89932
2016-03-06,966138.9100000001,61873
2016-03-13,958036.5700000004,63617
2016-03-20,1031600.3500000016,84542
2016-03-27,775338.6499999983,46872
2016-04-03,969237.76,62111
2016-04-10,838523.62,51680
2016-04-17,845456.9599999989,81135
2016-04-24,890957.2400000006,85826
2016-05-01,899096.8600000005,91477
2016-05-08,793554.8100000012,61746
2016-05-15,942421.1200000007,85097
2016-05-22,876965.080000001,72316
2016-05-29,936041.1100000018,80242
2016-06-05,821003.090000001,66011
2016-06-12,780666.3899999995,69107
2016-06-19,901068.7200000008,82666
2016-06-26,848659.9800000008,75866
2016-07-03,838049.4499999994,67311
2016-07-10,819072.1299999999,64791
2016-07-17,949700.51,75989
2016-07-24,1027435.3500000022,95700
2016-07-31,997065.9500000018,87891
2016-08-07,964519.2800000018,57747
2016-08-14,857211.9100000007,62411
2016-08-21,706135.8300000001,52149
2016-08-28,996950.2100000016,103314
2016-09-04,976591.9300000014,87604
2016-09-11,897677.1400000019,71867
2016-09-18,824841.0900000005,67311
2016-09-25,1080185.2200000002,83403
2016-10-02,1024543.0600000015,85950
2016-10-09,992365.7600000006,73899
2016-10-16,853616.0600000011,67411
2016-10-23,1190672.4600000002,84311
2016-10-30,808191.7900000005,56720
2016-11-06,787377.1000000009,53643
2016-11-13,954456.1100000002,61604
2016-11-20,1038062.3700000002,71524
2016-11-27,1118069.8099999994,85161
2016-12-04,1204038.0700000036,78257
2016-12-11,1002146.3500000016,80291
2016-12-18,1163251.0599999975,83046
2016-12-25,1284744.3300000003,113560
2017-01-01,1259143.000000001,103970
2017-01-08,1150407.7100000004,90071
2017-01-15,1175196.840000004,79694
2017-01-22,1345366.4900000012,100639
2017-01-29,1216691.2500000002,93148
2017-02-05,1312913.6200000015,89090
2017-02-12,1247791.2200000028,87935
2017-02-19,1320010.209999999,94923
2017-02-26,1327208.2299999977,99473
2017-03-05,1329333.0300000012,84764
2017-03-12,1257361.02,89912
2017-03-19,1042509.8100000033,91908
2017-03-26,1380460.77,116708
2017-04-02,898728.6300000006,88776
2017-04-09,948197.5200000001,75135
2017-04-16,893678.0200000004,68242
2017-04-23,831493.1500000014,69458
2017-04-30,907086.0799999997,82276
2017-05-07,586514.9399999992,62700
2017-05-14,567054.1199999992,55098
2017-05-21,557202.6499999996,56283
2017-05-28,537401.0099999994,69666
2017-06-04,356850.13999999955,37047
2017-06-11,99920.51000000004,8836
2017-06-18,40161.48,1880
